J0624-0424     1.039076  8.30e-16    52.000      2.00       70.83     96.083451     -4.414015    213.792     -8.036  *         
J0627+0649     0.346523  1.70e-15     6.330      1.89       86.60     96.973452      6.831703    204.166     -2.085  *         
J0627+0706     0.475877  2.98e-14     3.730      2.89      138.15     96.934062      7.109250    203.902     -1.991  *         
J0628+0909     1.241421  5.48e-16     8.000      0.06       88.30     97.150762      9.153861    202.190     -0.851  *         
J0629+2415     0.476623  2.00e-15     8.800      3.20       84.19     97.273867     24.262028    188.817      6.223  *         
J0630-0046     0.680575  3.75e-15     5.710      0.41       97.30     97.612317     -0.768292    211.220     -5.020  *         
J0630-2834     1.244419  7.12e-15    58.200     23.00       34.47     97.705852    -28.578550    236.952    -16.758  *         
J0633-2015     3.253211  3.82e-15    60.000      0.20       90.70     98.286917    -20.251972    229.260    -12.968  *         
J0636-4549     1.984597  3.17e-15    18.000      0.10       26.31     99.140600    -45.825728    254.547    -21.547  *         
J0646+0905     0.903913  7.36e-16    20.270      3.60      149.00    101.629146      9.097028    204.271      3.051  *         
J0647+0913     1.234854  6.42e-15    11.620      0.18      154.70    101.815333      9.233194    204.233      3.277  *         
J0652-0142     0.924054  1.52e-16    23.890      0.41      116.30    103.046275     -1.708417    214.538     -0.613  *         
J0656-2228     1.224754  2.67e-17    16.000      0.60       32.39    104.125862    -22.473764    233.655     -8.982  *         
J0658+0022     0.563295  9.15e-15    12.670      0.13      122.00    104.563371      0.376472    213.374      1.688  *         
J0659+1414     0.384891  5.50e-14    18.400      3.70       13.98    104.950558     14.239306    201.108      8.258  *         
J0711-6830     0.005491  1.49e-20     1.092      3.20       18.41    107.975941    -68.513222    279.531    -23.280  *         
J0719-2545     0.974725  7.28e-15    17.000      0.30      253.89    109.780750    -25.750064    238.934     -5.826  *         
J0721-2038     0.015542  4.40e-20     0.640      0.63       76.10    110.428770    -20.635295    234.669     -2.922  BT        
J0725-1635     0.424311  9.26e-17     4.100      0.33       98.98    111.251684    -16.596060    231.473     -0.330  *         
J0726-2612     3.442308  2.93e-13    31.000      0.20       69.40    111.533833    -26.210583    240.079     -4.644  *         
J0729-1448     0.251659  1.13e-13    12.500      0.70       92.30    112.318542    -14.810222    230.392      1.424  *         
J0729-1836     0.510160  1.90e-14     5.900      1.40       61.29    112.384798    -18.611875    233.760     -0.341  *         
J0733-2345     1.796250  5.70e-15    20.000      0.07      194.00    113.352500    -23.765611    238.713     -2.030  *         
J0737-2202     0.320366  5.47e-15     6.300      0.47       95.70    114.433629    -22.034811    237.685     -0.318  *         
J0737-3039A    0.022699  1.76e-18    14.300      1.60       48.92    114.463535    -30.661310    245.236     -4.505  DDS       
J0737-3039B    2.773461  8.92e-16    58.000      1.30       48.92    114.463535    -30.661310    245.236     -4.505  DD        
J0738-4042     0.374920  1.62e-15    29.000     80.00      160.80    114.634704    -40.711372    254.194     -9.192  *         
J0742-2822     0.166762  1.68e-14     5.400     15.00       73.78    115.704408    -28.378822    243.773     -2.444  *         
J0746-4529     2.791025  1.67e-14    39.000      0.20      134.57    116.747992    -45.490736    259.203    -10.103  *         
J0749-4247     1.095452  9.77e-16    20.000      0.60      104.59    117.456979    -42.795039    257.066     -8.349  *         
J0751+1807     0.003479  7.79e-21     0.700      3.20       30.25    117.788154     18.127390    202.730     21.086  ELL1      
J0754+3231     1.442349  1.08e-15    12.200      0.60       39.95    118.669533     32.532278    188.187     26.721  *         
J0758-1528     0.682265  1.62e-15     7.600      2.00       63.33    119.621128    -15.469094    234.464      7.224  *         
J0804-3647     2.191987  4.21e-15    37.950      0.29      196.00    121.092500    -36.793194    253.331     -2.872  *         
J0808-3937     0.866349  4.01e-16    13.190      0.21      165.00    122.048458    -39.631361    256.134     -3.759  *         
J0809-4753     0.547199  3.08e-15    15.000      3.00      228.30    122.432875    -47.898650    263.301     -7.957  *         
J0812-3905     0.482596  4.49e-17    37.060      0.88      327.00    123.061675    -39.096922    256.111     -2.811  *         
J0818-3049     0.763742  5.80e-16     6.410      0.45      133.70    124.705417    -30.825278    249.983      2.908  *         
J0818-3232     2.161259  7.53e-16    21.000      0.50      131.80    124.608063    -32.541814    251.358      1.875  *         
J0820-1350     1.238130  2.11e-15    22.100      7.00       40.94    125.109924    -13.848850    235.890     12.595  *         
J0820-3826     0.124836  2.44e-15     6.600      1.25      195.56    125.249717    -38.445244    256.523     -1.032  *         
J0820-3921     1.073567  1.22e-14    44.000      0.20      179.40    125.204625    -39.365472    257.261     -1.583  *         
J0820-4114     0.545446  1.89e-17   135.000      5.20      113.40    125.064375    -41.243444    258.749     -2.735  *         
J0821-4221     0.396728  3.48e-15    17.000      0.20      270.60    125.435983    -42.357072    259.825     -3.137  *         
J0823+0159     0.864873  1.05e-16    21.200      1.50       23.73    125.790700      1.986781    221.988     21.245  BT        
J0826+2637     0.530661  1.71e-15     5.800     10.00       19.45    126.714097     26.623275    196.963     31.742  *         
J0828-3417     1.848919  9.96e-16   740.000      0.25       52.20    127.069273    -34.285291    253.965      2.561  *         
J0831-4406     0.311674  1.28e-15     6.100      0.43      254.00    127.885125    -44.103306    262.285     -2.694  *         
J0834-4159     0.121116  4.44e-15     5.800      0.19      240.50    128.567917    -41.997500    260.886     -1.042  *         
J0835-3707     0.541404  9.78e-15     4.900      0.28      112.30    128.762833    -37.130972    257.076      1.990  *         
J0835-4510     0.089328  1.25e-13     2.100   1100.00       67.99    128.835881    -45.176354    263.552     -2.787  *         
J0837+0610     1.273768  6.80e-15    23.900      4.00       12.89    129.273508      6.170711    219.721     26.272  *         
J0837-4135     0.751624  3.54e-15     8.900     16.00      147.29    129.338257    -41.587325    260.904     -0.336  *         
J0838-2621     0.308581  3.90e-17     7.000      0.20      116.90    129.578338    -26.358208    248.807      8.981  *         
J0838-3947     1.703946  8.13e-16    57.000      0.11      219.00    129.628333    -39.789444    259.606      0.928  *         
J0840-5332     0.720612  1.64e-15    23.000      2.00      156.50    130.141167    -53.543194    270.774     -7.143  *         
J0842-4851     0.644354  9.50e-15     8.300      0.62      196.85    130.522375    -48.855778    267.182     -4.101  *         
J0843-5022     0.208956  1.72e-16     6.100      0.31      178.47    130.791183    -50.378639    268.496     -4.898  *         
J0846-3533     1.116097  1.60e-15    22.000      2.70       94.16    131.525252    -35.561292    257.190      4.710  *         
J0855-3331     1.267536  6.32e-15    22.800      0.60       86.64    133.910056    -33.527584    256.847      7.517  *         
J0855-4644     0.064686  7.26e-15     7.500      0.20      238.20    133.900750    -46.737056    266.967     -1.004  *         
J0855-4658     0.575072  1.36e-14    11.000      0.23      472.70    133.831542    -46.972944    267.116     -1.193  *         
J0857-4424     0.326774  2.33e-14     9.900      0.88      184.43    134.479829    -44.402867    265.455      0.820  *         
J0900-3144     0.011110  4.91e-20     0.800      3.80       75.70    135.183140    -31.741917    256.162      9.486  BT        
J0901-4624     0.441995  8.75e-14     5.100      0.46      198.80    135.417167    -46.413472    267.404     -0.004  *         
J0904-4246     0.965171  1.89e-15    21.000      0.60      145.80    136.246667    -42.770556    265.075      2.859  *         
J0904-7459     0.549553  4.63e-16    20.000     14.00       51.10    136.045000    -74.995222    289.738    -18.320  *         
