amplitude,cusum,hl_amp_ratio,kurtosis,period,period_SNR,period_uncertainty,phase_cusum,phase_eta,phi21,phi31,quartile31,r21,r31,shapiro_w,skewness,slope_per10,slope_per90,stetson_k,weighted_mean,weighted_std,class
0.715986377308,0.298352754557,2.15977948469,1.02310568168,0.223485,4.21689240786,0.000694059489019,0.462136623978,1.55274004242,-0.337167764791,1.36753790091,0.2165095,0.325322782428,0.279812495311,0.83181655407,1.34716115705,-0.0564762479676,0.18366079843,0.719229006721,18.9004767911,0.350953364352,3.0
0.263659906371,0.137176753826,0.701574936694,-1.19977410372,0.639335902066,38.4418697376,0.000126042095639,0.290044146204,0.202745684529,0.857302207913,1.7649180583,0.4475,0.350767748752,0.397696602971,0.909491181374,-0.399224366783,-0.141594795746,0.356490584853,0.871046724538,13.3714660832,0.242342315917,2.0
0.000141363555513,0.152726499801,0.494662930775,625.542285771,0.00061922871996,29.6106018525,1.90925514241e-08,0.094664602389,1.78860911048,-3.90964345923,-5.61280997507,0.000269999999999,0.257752489867,0.332019891583,0.290380716324,-19.7576585252,-0.0121455529319,0.0129211806303,0.507130792435,12.9761288978,0.000328162828133,1.0
0.460889840972,0.177849456417,0.552333136452,-1.34071125714,0.0302070115019,3.52730464483,6.01094683854e-07,0.370912883491,1.94014935225,-1.31460936141,-4.74778808449,0.5746145,0.263358236101,0.203059865059,0.92679554224,-0.0868845074232,-0.0111234517003,0.0479314695557,0.773174266157,19.4134403267,0.338562997108,3.0
1.8670529674,0.350100046482,1.34171450521,-1.02400020296,0.483868509317,2.83061324094,0.00300551041667,0.520587812153,1.16618958568,-1.03938444845,-3.58259012165,0.568554,0.793380059605,0.794829971194,0.949298918247,0.372440936667,-0.394031755799,0.365487553011,0.85334490027,17.8420240737,0.401603165282,3.0
0.245845574684,0.170076544207,1.27979251053,0.363660418889,0.302067410836,32.9340246638,2.93725606357e-05,0.250197939768,0.812141073491,-1.64755092924,-0.924017682149,0.305,0.119181577323,0.100055508133,0.982204258442,0.153301587015,-0.0419232371003,0.0869249705113,0.798694156813,12.6036770538,0.203349899987,2.0
0.347379015881,0.140242906933,0.419509810513,0.187432797878,0.543900417272,40.0949504238,0.000112912692695,0.258305219115,0.478333837569,-2.74318053996,-1.56602525306,0.4225,0.453228032221,0.158298307795,0.912520885468,-0.79538416085,-0.0690236246065,0.0648197529213,0.725026262495,11.7811356869,0.312498246846,2.0
0.00712226056308,0.259323448748,1.1820150179,-0.979499013219,0.00145972917575,35.0219257844,5.30509666372e-08,0.259298561707,0.00393295448402,-1.22964490618,0.24409169202,0.0085175,0.145701516573,0.106105827963,0.96657204628,0.126278338535,-0.0268546783522,0.0229103065938,0.831288329717,13.1723234483,0.0052812091191,1.0
0.185146306882,0.107878334859,0.652990731772,-0.671252822682,0.617715138731,38.1636418262,0.000150344436635,0.305068234493,0.494563709474,4.34612584983,2.79584165913,0.2775,0.396909316041,0.219117124857,0.961508333683,-0.327370833479,-0.171509524562,0.157655065149,0.84478745204,12.8068705763,0.160329742479,2.0
0.000219716250919,0.207236399135,1.66645595072,5.34373868277,0.000417027697138,25.7482457607,4.32993015655e-09,0.105631141836,1.63121306379,-2.32081369901,-1.89721086903,0.000360000000001,0.243530285701,0.209309934716,0.811297535896,1.66277149858,-0.00595660815542,0.0064981179877,0.677215803817,13.2865000985,0.000360904365084,1.0
3.38138457385,0.413003547184,2.32389109172,1.60612801568,1.98404558824,5.90544214634,0.0217254589372,0.559142788932,0.625739715741,-2.7513199898,-2.46485308361,0.403109,0.424462725062,0.236222454036,0.823663234711,1.50773774622,-0.0863904363074,0.366779043106,0.756871126008,19.0894630099,0.459113727506,3.0
0.00139740509366,0.13354830024,0.881826968533,36.0407839291,0.0014597250321,44.6527867959,1.97723989298e-08,0.180356535035,1.53402179287,-1.71390214747,-0.986555568148,0.00221,0.056412469616,0.0593316260588,0.877128481865,-1.96398400001,-0.00113523709315,0.00124561365192,0.700694389537,15.5076057558,0.00214268260921,1.0
263311.872927,0.35242849516,0.993487256284,0.602875193353,400.624142727,4.67753516051,50.8484488846,0.402208502931,3.56762721004,-2.4039282276,-1.64074919401,0.88325275,0.950149751303,0.309923350711,0.932300150394,-0.756477687698,-31.0991997297,49.182484024,0.808298948246,18.8212606258,0.732557643003,3.0
5.44042269257e-05,0.055568933639,1.10721302869,4.68553418356,0.00340897508148,16.8202228184,3.47193283219e-07,0.0543389010315,1.89779290069,-1.73566287128,-1.01777365198,0.000300000000001,0.0688790562075,0.110051918929,0.806340813637,-0.398869927453,-0.0420959485119,0.0534212698045,0.762955904337,13.6765482943,0.000242458639137,1.0
1775.62939886,0.287213421782,0.916223553383,-0.0463735028545,0.255086761364,3.34279502345,0.00216189101124,0.321181769103,1.34527226961,2.97834560286,2.65324057231,0.201569,0.558682433489,0.137305097311,0.975247740746,0.0482882621298,-0.0575622910939,0.583620858002,0.742628110277,18.6943813191,0.203406092403,3.0
1.49826149958,0.326740944689,1.89827535437,-0.62784036141,1.185659,5.23867629586,0.00219567234456,0.243365546973,1.72850173719,-1.49172454759,-2.59074741749,0.8324165,0.669439204343,0.761541048214,0.95634162426,0.503762005051,-0.140317232418,1.39550838896,0.855931424269,19.2768189495,0.550849788604,3.0
0.286774698026,0.158939714656,0.451416970535,0.814553573586,0.68116116792,24.4877474337,0.000143923511898,0.302386279763,0.273824127122,0.759350403162,1.71885483442,0.3125,0.53482465716,0.326506827364,0.912923574448,-1.05340464597,-0.127039269427,0.583199999819,0.752033510108,13.0898695055,0.238023678303,2.0
